ID,Country,Brand,Type,Package,Rating
369,JPN,Brand B,Hiyashi Soba Taidashi Goma,Pack,3
370,HKG,Brand C,Bowl Chicken Flavour Instant Rice Vermicelli,Bowl,4
371,IDN,Brand D,X-Press Flavour Of Pizza In Noodles Proprietary Food,Pack,4
372,SGP,Brand E,Rice Noodles Fragrant Chicken Pho Ga Flavour,Pack,4
373,MYS,Brand F,Vegetarian Penang White Curry,Pack,5
374,JPN,Brand G,Cup Noodle Seafood,Cup,5
375,KOR,Brand A,Budae Jjigae,Pack,5
376,AUS,Brand B,Noodles Crispy Bacon Flavour,Cup,1
377,TWN,Brand C,Spicy Braised Pork Flavor,Pack,4
378,HKG,Brand D,Demae Ramen Spicy Seafood Flavour Instant Noodle,Pack,5
379,TWN,Brand E,Chow Mein Spicy Flavor,Tray,3
380,SGP,Brand F,Mee Goreng Spicy Flavour,Pack,5
381,JPN,Brand A,Tabimen Nagasaki Chanpon,Bowl,4
382,VNM,Brand B,Oh! Ricey Pork Flavour,Pack,4
383,KOR,Brand C,Bul Jjamppong,Pack,4
384,THA,Brand D,Disney Cuties Instant Noodle Roast Pork Flavour,Cup,3
385,PAK,Brand E,Instant Noodles Masala,Pack,4
386,HKG,Brand F,Demae Ramen Spicy Hot tonkotsu Flavour Instant Noodle,Pack,5
387,USA,Brand G,Ramen JPNese Style Quick-Cooking Alimentary Paste With Chicken Artificially Flavored Soup Base,Pack,0
388,HKG,Brand A,Big Cup Noodles Tonkotsu Flavour,Cup,3
389,JPN,Brand B,Deka Buto Kuro M-yu Tonkotsu,Bowl,5
390,USA,Brand C,Bowl Taste Of Asia Hearty Pork Flavor Tonkotsu Ramen,Bowl,4
391,BRA,Brand D,Cup Noodles Sabor Galinha Caipira,Cup,4
392,USA,Brand E,Bowl Noodle Soup Independence Day Limited Edition Spicy Chicken Flavor,Bowl,4
393,HKG,Brand F,Nupasta Vongole Flavour Instant Noodle,Cup,4
394,UK,Brand G,Penang Chicken Curry Laksa,Cup,2
395,UK,Brand A,Shaolin Monk Vegetables,Cup,5
396,UK,Brand B,Tai Chi Chicken,Cup,3
397,UK,Brand C,Dragon Fire Mushroom,Cup,3
398,UK,Brand D,HKG Street Beef,Cup,5
399,UK,Brand E,Warrior Fighting Shrimp,Cup,3.3
400,JPN,Brand F,Gyorai Inaniwa Chuka Soba,Bowl,5
401,HKG,Brand A,Chicken Flavour Instant Noodle,Pack,4
402,PAK,Brand B,Chicken Flavored Instant Noodles,Pack,3
403,MYS,Brand C,Penang White Curry Instant Noodle,Pack,5
404,TWN,Brand D,XO Scallops Sauce Dry Noodles,Pack,4
405,JPN,Brand E,Barikata Noukou Tonkotsu Shoyu,Bowl,4.8
406,HKG,Brand F,Demae Ramen Sesame Oil Flavour Cup,Cup,4
407,AUS,Brand G,Instant Noodles Chicken Flavour,Cup,2.5
408,KOR,Brand A,Non-Fried Ramyun Noodle (Crab Flavor),Pack,5
409,CHN,Brand B,Assorted Seafood Noodles,Pack,4
410,JPN,Brand C,Raoh Hot & Sour Ramen,Pack,5
411,THA,Brand D,Coriander Instant Rice Noodles,Bowl,2.8
412,THA,Brand E,Instant Rice Noodles Moo Nam Tok Flavour,Pack,3.5
413,THA,Brand F,Instant Rice Vermicelli Clear Soup,Pack,3.5
414,THA,Brand G,Instant Rice Noodles Chicken Flavour,Pack,4
415,THA,Brand A,Pho Ga Rice Noodles With Artificial Chicken Flavour,Bowl,3
416,THA,Brand B,Oriental Kitchen Instant Rice Vermicelli In Gravy,Pack,5
417,THA,Brand C,Instant Tom Yam Rice Noodles,Pack,4
418,THA,Brand D,Instant Rice Noodles Vegetable Flavour,Pack,4
419,THA,Brand E,Instant Rice Vermicelli Yentafo Tom Yam Mohfai,Pack,5
420,THA,Brand F,Instant Flat Noodles Clear Soup,Pack,4
421,THA,Brand A,Cup Rice Noodles Tom Saab Flavour,Cup,5
422,THA,Brand B,Instant Rice Noodles Stew Beef Flavour,Pack,4
423,THA,Brand C,Instant Rice Noodles Phnom Penh Style,Pack,4
424,THA,Brand D,Instant Flat Noodles Tom Yam Flavour,Pack,4
425,USA,Brand E,Ramen Noodle soup Mushroom Flavor,Pack,4
426,SGP,Brand F,Vegetable Flavour Instant Noodles,Pack,4
427,TWN,Brand G,Rice Noodle Shallot With Braised Pork Flavor,Pack,5
428,CAN,Brand A,Vegetable Flavour Noodles With Vegetables,Cup,3
429,CHN,Brand B,Instant Noodle Artificial Beef Flavor 7 sour Pickled Cabbage,Pack,4
430,AUS,Brand C,Noodles With Hot & Spicy Flavour,Cup,3
431,TWN,Brand D,Rice Noodle Chinese Mushroom With Soybean Vegetarian Braised Pork Flavor,Pack,5
432,JPN,Brand E,Piritto Karakuchi Tantan Udon,Bowl,4
433,TWN,Brand F,Rice Noodle Seafood Laksa Flavour,Pack,5
434,KOR,Brand G,Chal Bibim Myun,Pack,5
435,JPN,Brand A,JPNese Yakisoba Umami Sauce,Bowl,5
436,MEX,Brand B,Sazon Casero Sopa Con Tomate Y Sabor Pollo,Pack,3
437,TWN,Brand C,Chow Mein Original Flavor,Tray,5
438,CHN,Brand D,Artificial Mushroom Chicken Flavor Instant Noodle,Pack,4
439,TWN,Brand E,Chow Mein Oyster Sauce BBQ Flavor,Tray,2
440,TWN,Brand F,Aloe Vera Guan Mian Purple Sweet Potato Noodle With Spicy Miso Sauce,Pack,4
441,TWN,Brand A,Black Eyes Bean Original Noodle With Sesame Sauce,Pack,4
442,TWN,Brand B,Aloe Vera Guan Mian Pumpkin Noodle With Basil Sauce,Pack,4
443,TWN,Brand C,Black Eyes Bean Cyanobacteria Noodle With Ginger Oil Sauce,Pack,5
444,TWN,Brand D,Aloe Vera Guan Mian Original Noodle With Sesame Sauce,Pack,5
445,TWN,Brand E,Black Eyes Bean Purple Sweet Potato Noodle With Spicy Miso Sauce,Pack,3
446,TWN,Brand F,Aloe Vera Guan Mian Cyanobacteria Noodle With Ginger Oil Sauce,Pack,5
447,TWN,Brand G,Black Eyes Bean Pumpkin Noodles With Basil Sauce,Pack,5
448,USA,Brand A,Instant Lunch Pork Flavor Ramen Noodles With Vegetables,Cup,3
449,JPN,Brand B,Kun Ramen Sumo-kuchikin (Smoked Chicken),Bowl,3
450,USA,Brand C,Tonkotsu,Cup,3
451,BRA,Brand D,Lamen Sabor Picanha,Pack,4
452,VNM,Brand E,Lemon Chicken Flavour Instant Noodles,Pack,3
453,USA,Brand F,Bowl Taste Of Asia Miso Chicken Flavor Spicy Miso Ramen,Bowl,4
454,JPN,Brand G,Men Shokunin Kaoruyasai Shio,Bowl,5
455,KOR,Brand A,Rice Noodle Seafood Flavour,Bowl,5
456,HKG,Brand B,Superior Soup Instant Noodles (Mfg in THA),Pack,4
457,HKG,Brand C,Superior Soup Instant Noodles (Mfg in VNM),Pack,4
458,HKG,Brand D,Demae Ramen Spicy Curry Flavour Instant Noodles,Pack,4
459,HKG,Brand E,Demae Ramen Roast Beef Flavour Instant Noodles,Pack,4
460,HKG,Brand F,Instant Noodle Supreme Abalone And Chicken Flavour,Pack,2
461,HKG,Brand A,Chicken Flavour Instant Noodle,Pack,4
462,JPN,Brand B,Kimchi Chikin Ramen Donburi,Bowl,5
463,USA,Brand C,Instant Lunch Chipotle Chicken Flavor Ramen Noodle Soup,Cup,5
464,SGP,Brand D,Mee Goreng Thai Tom Yum Flavour,Pack,4
465,HKG,Brand E,Artificial Salted Beef With Mushrooms Flavour,Pack,4
466,MYS,Brand F,Hot & Spicy Dry Curry With Chives Soup,Pack,5
467,JPN,Brand G,Taimeiken Yousyoku Yasangatsukutta Omumen,Cup,4
468,AUS,Brand A,Noodles With Chicken & Sweet Corn Flavour,Cup,2.3
469,JPN,Brand B,Mennippon Oumi Chanpon,Bowl,5
470,SGP,Brand C,Curry Flavour Instant Noodles,Pack,4
471,THA,Brand D,Nissin Instant Noodles Tom Yum Seafood Creamy Flavour King Cup,Bowl,3.5
472,THA,Brand E,Cup Noodles Tom Yum Shrimp Sabb Flavour,Cup,5
473,THA,Brand F,Chilli Noodles Stir Fried Holy Basil Flavour,Pack,5
474,THA,Brand G,Instant Noodles Moo Manao Flavour,Pack,4
475,THA,Brand A,Super Tom Yum Shrimp,Cup,3.5
476,THA,Brand B,Cup Noodles Minced Pork Flavour,Cup,3.5
477,THA,Brand C,Chilli Noodles Tom Yum Shrimp Creamy Soup Flavour,Cup,3.3
478,THA,Brand D,Nissin Instant Noodles Shrimp Ma Nao Lui Suan Flavour King Cup,Bowl,4
479,THA,Brand E,Instant Noodles Tom Yum Shrimp Saab Flavour,Pack,4
480,THA,Brand F,Cup Noodles Moo Manao Flavour,Cup,4
481,THA,Brand A,Instant Noodles Minced Pork Flavour,Pack,3.5
482,THA,Brand B,Cup Noodles Seafood Creamy Flavour,Cup,4
483,THA,Brand C,Chilli Noodles Spicy Tom Yum Flavour,Pack,4
484,HKG,Brand D,Cup Noodles Chilli Crab Flavour,Cup,3.8
485,CAN,Brand E,Vegetarian Flavour Ramen Noodles,Pack,3
486,TWN,Brand F,Tuna With Shallot Flavor Noodle,Pack,4.3
487,TWN,Brand G,GGE Noodle Snack Wheat Crackers Original Ramen,Pack,1
488,BRA,Brand A,Lamen Sabor Frango Assado Com Toque De Limao,Pack,4.5
489,JPN,Brand B,Onion Flavor Shoyu Ramen,Pack,3.5
490,USA,Brand C,Ramen Noodle Soup Chicken Tortilla Flavor,Pack,3
491,KOR,Brand D,Rice Noodle Kimchi Flavor,Bowl,4
492,USA,Brand E,Ramen JPNese Style Quick-Cooking Alimentary Paste With Beef Artificially Flavored Soup Base,Pack,0
493,JPN,Brand F,Cup Noodles SGP Laksa,Cup,5
494,KOR,Brand G,Pojangmacha Udon,Pack,4
495,SGP,Brand A,Mee Goreng Original Flavour,Pack,4
496,JPN,Brand B,Yakibuta Ramen,Bowl,4
497,USA,Brand C,Kimchi Flavor Noodle Soup,Cup,5
498,MYS,Brand D,Otentiq Cheezy Mushroom Instant Noodles (Improved Taste),Pack,5
499,JPN,Brand E,Seimen Noukou Toro Tonkotsu,Bowl,4
500,SGP,Brand F,Straits Kitchen Laksa,Pack,5
501,KOR,Brand A,Champong Noodle Soup Spicy Seafood Flavor,Pack,5
502,TWN,Brand B,Seaweed Flavour Noodle,Pack,2
503,HKG,Brand C,Instant Noodle Preserved Vegetable Flavour,Pack,4
504,MYS,Brand D,Penang Hokkien Prawn Noodle Authentic Taste,Cup,5
505,HKG,Brand E,Nupasta Salmon In White Sauce Flavour Instant Noodle,Pack,5
506,HKG,Brand F,Big Cup Noodles Seafood Curry Flavour,Cup,5
507,HKG,Brand G,Demae Iccho Beef Flavour Instant Noodle,Bowl,4
508,HKG,Brand A,Mie Goreng IDN Stir Noodle Original Flavour,Pack,4
509,HKG,Brand B,Demae Ramen Sesame Flavour Instant Noodles,Pack,5
510,HKG,Brand C,Superior Soup Instant Rice Vermicelli,Bowl,5
511,HKG,Brand D,Demae Ramen Straight Noodle Kyushu Tonkotsu Instant Noodle,Pack,5
512,HKG,Brand E,Taisho Fried Noodle Sesame Paste Flavour Instant Noodle,Pack,5
513,HKG,Brand F,Cup Noodles Pork Chowder Flavour,Cup,4
514,HKG,Brand G,Cup Mifun Spicy Beef Flavour,Cup,4
515,HKG,Brand A,Non-Fried Superior Soup Noodle,Pack,4
516,HKG,Brand B,Nupasta Carbonara Flavour Instant Noodle,Cup,5
517,HKG,Brand C,Demae Iccho Curry Beef Flavour,Cup,4
518,HKG,Brand D,Cup Noodles Big Spicy Seafood Flavour,Cup,5
519,HKG,Brand E,Demae Iccho Black Garlic Oil Tonkotsu,Bowl,3.8
520,IDN,Brand F,Mi Segera Mi Goreng Ayam Krispi,Pack,4.5
521,MEX,Brand A,Cup Noodles Sabor Pollo Habanero Y Limon Sopa Instantanea,Cup,3.5
522,CAN,Brand B,Spicy Ramen Noodles,Pack,4
523,USA,Brand C,Bowl Taste Of Asia Beef Flavor Sukiyaki Ramen,Bowl,5
524,TWN,Brand D,Tainan Noodle Original Sauce,Pack,5
525,JPN,Brand E,Negi Ramen,Bowl,1.8
526,HKG,Brand F,Instant Noodle Vegetarian Flavour,Pack,3.8
527,AUS,Brand G,Fusian Special Edition Ow... Ow... Spicy Cow Mi Goreng,Pack,5
528,KOR,Brand A,Fresh Jjajang,Pack,4.5
529,JPN,Brand B,Hakata Tonkotsu Ramen,Pack,5
530,HKG,Brand C,Kung Tak Lam Vegetarian Noodle (Mushroom),Pack,3
531,USA,Brand D,Arrabiata Rice Bucatini,Pack,5
532,HKG,Brand E,Pepper Noodles Vegetarian,Pack,3.3
533,MEX,Brand F,Ramyon Sabor Mariscos,Pack,3.8
534,HKG,Brand G,Dried Mix Noodles Scallop Seafood Flavoured,Tray,4.3
535,JPN,Brand A,Cup Noodle Light+ Cheese Fondue,Cup,5
536,HKG,Brand B,Beef And Radish Flavour Instant Noodle,Pack,2.5
537,THA,Brand C,Instant Noodle Shrimp Tom Yam Flavoured,Pack,3.8
538,MEX,Brand D,RapiFideo Sabor A Chile Y Limon,Cup,3.8
539,USA,Brand E,Garlic Pepper Reduced Sodium Ramen,Pack,0
540,JPN,Brand F,Tokyo Tokunou Gyokai Tonkotsu,Bowl,5
541,AUS,Brand A,Noodles Curried Prawn Flavour,Cup,3.3
542,USA,Brand B,Instant Lunch Sriracha Chicken Flavor Ramen Noodle Soup,Cup,3.8
543,IDN,Brand C,Pop Mie Mi Instan Cup Rasa Ayam,Cup,3.5
544,CHN,Brand D,Artificial Pork Ribs Flavour Instant Noodle,Pack,3.5
545,MYS,Brand E,Penang Red Tom Yum Goong Noodle Authentic Taste,Cup,5
546,MEX,Brand F,Ramyon Sabor A Res,Pack,4
547,JPN,Brand G,Kadomen Koikoku Tonkotsu,Bowl,3.8
548,TWN,Brand A,XO Sauce Noodle,Pack,5
549,MYS,Brand B,Perisa Asam Pedas Mi Segera,Pack,4
550,CAN,Brand C,Chicken Style Ramen Noodles,Pack,3.5
551,HKG,Brand D,Hello Kitty Dim Sum Noodle JPNese Soy Sauce Flavour,Cup,3
552,MYS,Brand E,MYS Green Curry Noodle,Bowl,5
553,AUS,Brand F,Noodles Mi Goreng,Cup,4.3
554,CHN,Brand G,Tomato Sauce Instant Noodle,Pack,4.5
555,BRA,Brand A,Cup Noodles Sabor Franhp Com Requeijao,Cup,5
556,JPN,Brand B,Yakibuta Ramen,Bowl,5
557,MYS,Brand C,Vegetarian Herbal Noodle,Pack,1.5
558,KOR,Brand D,Hovenia Ramen Vegetable Flavor,Pack,3.5
559,TWN,Brand E,Hakka BBQ Sauce Noodle,Pack,4.3
560,JPN,Brand F,Maru Uma Curry Udon,Cup,3.5
561,AUS,Brand A,Noodles Oriental Flavour,Cup,3.3
562,IDN,Brand B,Instant Noodles Artificial Chicken & Shrimp Flavored,Pack,2.5
563,HKG,Brand C,Noodle King Artificial Beef Soup Flavored,Bowl,3.8
564,MYS,Brand D,Otentiq Cheezy Curry Instant Noodles (Improved Taste),Pack,5
565,JPN,Brand E,Charumera Atyificial Tonkotsu Shouyu Flavor,Pack,3.8
566,AUS,Brand F,Instant Noodles Beef Flavour,Cup,2
567,MEX,Brand G,"Sopa Maruchan Sabor a Camaron, Limon y Habanero",Pack,3.5
568,JPN,Brand A,Shinshu Miso Ramen,Bowl,5
569,MYS,Brand B,Penang White Curry Authentic Taste Cup,Cup,4.8
570,UK,Brand C,Authentic Street Food Chow Mein,Cup,2
571,UK,Brand D,Authentic Street Food Pad Thai,Cup,2.5
572,UK,Brand E,Authentic Street Food Black Bean,Cup,0
573,UK,Brand F,Authentic Street Food Thai Red Curry,Cup,3
574,UK,Brand G,Authentic Street Food Satay,Cup,5
575,CHN,Brand A,Artificial Roasted Beef,Pack,3.5
576,JPN,Brand B,Seabura Tonkotsu Ramen,Cup,3.8
577,KOR,Brand C,Noodle With Spicy Oyster Soup,Pack,4
578,KOR,Brand D,Honey & Cheese Big Bowl,Bowl,0
579,CAN,Brand E,Chicken Style Noodles With Vegetables,Cup,3.5
580,MYS,Brand F,Perisa Kari Mi Segera (Improved Taste),Pack,5
581,TWN,Brand A,Ghost Pepper Noodle,Pack,4.5
582,CAN,Brand B,Beef Style Ramen Noodles,Pack,3.5
583,THA,Brand C,Vegetarian Instant Noodles Shiitake Flavour,Pack,2
584,AUS,Brand D,2 Minute Laksa Flavour Noodles,Pack,2
585,MMR,Brand E,Rangers Snack Noodles Popcorn Flavour,Pack,3.8
586,NLD,Brand F,Oriental Noodles Soto Ajam,Cup,3
587,CHN,Brand G,Hot spicy Flavor Instant Vermicelli,Bowl,3.5
588,USA,Brand A,Rice Fettucini Alfredo,Pack,3.8
589,HKG,Brand B,Wonton Noodles Beef Flavour,Bowl,3.8
590,TWN,Brand C,Hakka Spicy Barbeque Sauce,Pack,4.5
591,JPN,Brand D,Donbei Dashi Shoyu Yakiudon,Bowl,3.8
592,JPN,Brand E,Raoh Rich Miso Flavor,Bowl,5
593,JPN,Brand F,Cup Noodles Tom Yum Goong,Cup,3.8
594,JPN,Brand G,Cup Noodle Big Seafood Clam Chowder,Cup,4
595,JPN,Brand A,Chikin Ramen Donburi,Bowl,5
596,JPN,Brand B,Curry Udon,Cup,5
597,JPN,Brand C,Men Shokunin Shoyu,Bowl,5
598,JPN,Brand D,Cup Noodle Vegeta Buta-kyabetsu Tonkotsu,Cup,4.3
599,JPN,Brand E,Cup Noodle Pasta Style Tarako Spaghetti,Cup,4
600,JPN,Brand F,Cup Noodle Big Cheese Mexican Chilli,Cup,5
601,JPN,Brand A,Gyoretsu-no-Dekiru-Mise-no-Ramen (Shrimp Tantanmen),Bowl,5
602,JPN,Brand B,Raoh Tonkotsu,Pack,5
603,JPN,Brand C,Cup Noodle Light Plus Ratatouille,Cup,4.5
604,JPN,Brand D,Cup Noodle Milk Chikin Ramen,Cup,5
605,JPN,Brand E,Cup Noodle,Cup,5
606,MYS,Brand F,Penang White curry Noodle Authentic Taste,Pack,5
607,MMR,Brand G,Instant Noodles Chicken Soup Flavour,Pack,3.5
608,JPN,Brand A,Yokohama Walker Iekei Ramen,Bowl,4.5
609,TWN,Brand B,Quinoa Noodle With Oyster Sauce And Vegetables,Pack,4.3
610,SGP,Brand C,SGP Prawn Soup La Mian,Pack,5
611,HKG,Brand D,Chinese Tan Tan Vermicelli,Cup,5
612,JPN,Brand E,Tokushima Ramen,Pack,4
613,CHN,Brand F,Assorted Pork Bone Noodle,Pack,4
614,MYS,Brand G,Penang Red tom Yum Goong Noodle Authentic Taste,Pack,5
615,AUS,Brand A,Noodles Witrh Prawn & Chicken Flavour,Cup,3.5
616,JPN,Brand B,BIG Cup Noodle Ajillo,Cup,3
617,MYS,Brand C,Nyonya Curry Laksa (Improved Taste),Pack,5
618,MYS,Brand D,MYS Penang Green Curry Vermicelli (New Package),Pack,5
619,JPN,Brand E,Kumamoto Spicy Ramen,Pack,4.3
620,DEU,Brand F,Soba Fried Noodles Classic,Pack,3.3
621,KOR,Brand A,Cheese Curry Ramyun,Pack,5
622,BRA,Brand B,Cup Noodles Sabor Calabresa,Pack,4.3
623,HKG,Brand C,Spicy Flavour Instant Mifun,Pack,2.8
624,JPN,Brand D,Horse Crab Flavour Ramen,Pack,3.5
625,MYS,Brand E,MYS Penang Red Curry Noodle,Pack,5
626,USA,Brand F,Noodle Soup Seasoned With Real Kimchi,Pack,4.8
627,USA,Brand G,Top Ramen Chicken Flavor Ramen Noodle Soup (New Packaging),Pack,3.5
628,JPN,Brand A,Kinchan Ramen,Pack,4.5
629,TWN,Brand B,GGE Noodle Snack Wheat Crackers Soy Sauce Ramen,Pack,3.8
630,MYS,Brand C,Penang Spicy Prawn Soup Noodle Authentic Taste,Pack,5
631,MMR,Brand D,Instant Noodles Coconut Milk Flavour,Pack,5
632,UK,Brand E,Rice Noodles Vegetable Laksa,Cup,3.8
633,UK,Brand F,Rice Noodles Chicken Pho,Cup,3.5
634,UK,Brand G,Chicken Ramen,Cup,4.3
635,UK,Brand A,Chilli Chicken Ramen,Cup,4
636,JPN,Brand B,Charumera Shoyu Ramen,Pack,4
637,USA,Brand C,Mi Goreng Bento Noodles In A Box Curry Masala Flavour,Tray,4
638,THA,Brand D,Cup Vegetarian Instant Noodles Tom Yum Flavour,Cup,4
639,JPN,Brand E,Spicy Tomato Salsa Ramen,Cup,0
640,USA,Brand F,Raoh Ramen Noodle Soup Umami Soy Sauce Flavor,Pack,4.8
641,NLD,Brand A,Island Of Flavours Spicy Thai Chicken Instant Noodles Soup,Pack,2
642,SGP,Brand B,SGP Fish Soup La Mian,Pack,5
643,TWN,Brand C,Kung-Fu Brand Instant Oriental Noodle Soup Artificial Beef Flavor,Pack,3.8
644,USA,Brand D,Cup Noodles Ramen Noodle Soup Hearty Chicken Flavor [New Package],Cup,4.3
645,JPN,Brand E,Red King Crab Flavour Ramen,Pack,4
646,THA,Brand F,Oriental Style Instant Noodles Shrimp Flavour (Tom Yum),Pack,3.5
647,CHN,Brand G,Artificial Pickled Cabbage Fish Flavor Instant Vermicelli,Pack,1.5
648,SGP,Brand A,SGP Laksa Wholegrain La Mian,Pack,5
649,JPN,Brand B,Raoh Shio Ramen,Pack,4.8
650,BGD,Brand C,Oriental Style Instant Noodles Masala Flavour,Pack,3.5
651,TWN,Brand D,GGE Noodle Snack Wheat Crackers Hot Spicy,Pack,5
652,JPN,Brand E,Sugomen Niigata Seabura Shoyu Ramen,Bowl,5
653,MYS,Brand F,Always Mi Goreng Perisa Sambal Udang,Pack,3.5
654,NLD,Brand G,Good Noodles Tandoori,Pack,2.5
655,JPN,Brand A,Cup Noodle Pasta Style Bolognese,Cup,5
656,MMR,Brand B,Instant Noodles Shrimp Creamy Tom Yum Flavour,Pack,5
657,JPN,Brand C,Donbei Kamodashi Soba,Bowl,5
658,MMR,Brand D,Chicken Soup Flavour Cup Noodles,Cup,3.8
659,USA,Brand E,Rice Noodle Coconut Curry,Pack,1
660,TWN,Brand F,Guanmiao Dried Noodles With Oleum Sesami,Pack,3.8
661,TWN,Brand A,Guanmiao Dried Noodles With Spicy Sauce,Pack,5
662,TWN,Brand B,Guanmiao Dried Noodles With Authentic Sauce,Pack,4.5
663,TWN,Brand C,Guanmiao Dried Noodles With Shallot Flavor,Pack,3.8
664,HUN,Brand D,Instant Noodles chicken Flavour,Pack,3.8
665,NLD,Brand E,Island Of Flavours Lemongrass Instant Noodles Soup,Pack,0.3
666,KHM,Brand F,Instant Noodles Minced Pork Flavour,Pack,3.5
667,THA,Brand G,Instant Noodles Oriental Style Chicken Flavour,Pack,3
668,JPN,Brand A,Kogashi Megiiri Tonkotsu Kagoshima Ramen,Bowl,3.5
669,USA,Brand B,Bowl Noodles Hot & Spicy Chicken Flavor Less Sodium Ramen Noodle Soup,Bowl,4
670,SGP,Brand C,Juzz's Mee Creamy Chicken Flavour,Pack,5
671,CHN,Brand D,Broad Noodle Artificial Beef Flavor,Pack,3.5
672,NLD,Brand E,Oriental Noodles Teriyaki,Cup,0.5
673,IDN,Brand F,Instant Cup Mi Kuah Rasa Baso Spesial,Cup,1.5
674,USA,Brand G,Cup Noodles Ramen Noodle Soup Chicken Flavor [New Package],Cup,3.5
675,JPN,Brand A,Ramen Tonkotudou Kumamoto Noodles,Pack,0.8
676,JPN,Brand B,Shiroi Chikara Mochi Udon,Bowl,4.5
677,NLD,Brand C,Instant Noodles chicken Flavour,Pack,3.5
678,USA,Brand D,Mi Goreng Bento Noodles In A Box Hot Sweet & Sour Flavor,Tray,0.3
679,DEU,Brand E,Soba Fried Noodles Teriyaki,Pack,3
680,JPN,Brand F,Yuzu Sesame Sauce Udon,Bowl,4.5
681,SGP,Brand A,Juzz's Mee Curry Flavour,Pack,5
682,USA,Brand B,Mushroom Rice Noodle Soup Bowl,Bowl,0
683,MMR,Brand C,Instant Noodles Chicken Sichek Flavour,Pack,3.8
684,JPN,Brand D,Emergency Chikin Ramen Cup Noodle,Cup,5
685,USA,Brand E,Chow Mein Pad Thai,Tray,3
686,HUN,Brand F,Instant Noodles With Chicken Flavouring,Pack,3.5
687,JPN,Brand G,Kuroma-yu Tonkotsu Kumamoto Ramen,Bowl,4.8
688,SGP,Brand A,SGP Curry Wholegrain La Mian,Pack,5
689,VNM,Brand B,Chicken Flavour Asian Style Instant Noodles,Pack,3.5
690,FIN,Brand C,Nuudeli Kana Nudlar Kyckling,Pack,3.5
691,HUN,Brand D,Instant Noodles Duck Flavour,Pack,3
692,JPN,Brand E,Tonkotsu Ramen,Pack,4.5
693,MMR,Brand F,Seafood Tom Yum Sichek Flavour,Pack,5
694,SGP,Brand G,Juzz's Mee Original Spicy Flavour,Pack,5
695,MYS,Brand A,Always Mi Goreng Perisa Kari Kapitan,Pack,5
696,NLD,Brand B,Island Of Flavours Thai Royal Shrimp Instant Noodles,Pack,1.5
697,CHN,Brand C,Spicy Fish Noodle,Bowl,3
698,JPN,Brand D,Cup Noodle Massaman Curry,Cup,3.5
699,HUN,Brand E,Instant Noodles Duck Flavour,Pack,3.5
700,JPN,Brand F,Seimen Houjyun Koku Shoyu,Bowl,5
701,MMR,Brand A,Rangers Snack Noodles BBQ Flavour,Pack,2.8
702,JPN,Brand B,Cup Noodle Sio,Cup,5
703,KOR,Brand C,Cheese Ramen,Pack,4
704,USA,Brand D,Cup Noodles Homestyle Chicken,Cup,3.5
705,JPN,Brand E,Beef Tongue Shio Mayo Ramen,Pack,4.5
706,MMR,Brand F,Rangers Snack Noodles Sour Cream Flavour,Pack,2.8
707,SGP,Brand G,Cup Noodles Kyushu White Flavour,Cup,3.5
708,SGP,Brand A,Mee Poh Dry,Pack,4.3
709,SGP,Brand B,Chicken Abalone Flavour,Bowl,3.8
710,SGP,Brand C,Ramen Char Mee 100,Pack,3
711,SGP,Brand D,La Ramen Spicy Mushroom Flavour Big Bowl,Bowl,4.5
712,SGP,Brand E,Mee Goreng,Pack,4
713,SGP,Brand F,La Ramen Spicy Lobster Hot Pot Flavour Big Bowl,Bowl,4.8
714,SGP,Brand G,Chicken Abalone Flavour,Pack,3.5
715,SGP,Brand A,Thai Tom Yam Flavour,Bowl,3.8
716,SGP,Brand B,Chicken Tanmen Flavour,Pack,3.5
717,SGP,Brand C,Extra Spicy SGP Curry Big Bowl,Bowl,5
718,SGP,Brand D,La Ramen Spicy Mushroom Flavour,Pack,4.5
719,SGP,Brand E,Chicken Flavour,Pack,3.8
720,USA,Brand F,Tonkotsu Ramen Artificially Flavored Tonkotsu White Chicken Broth,Pack,5
721,MYS,Brand A,Always Mi Goreng Perisa Thai Tom Yam,Pack,2.5
722,TWN,Brand B,Wei Wei A Instant Noodles Chicken Flavor,Bowl,0
723,JPN,Brand C,Hakata Ossyoi,Pack,5
724,THA,Brand D,Cup Noodles Minced Pork Flavour,Cup,3.8
725,HUN,Brand E,Instant Noodles With Beef Flavouring,Pack,2.8
726,DEU,Brand F,Soba Fried Noodles Chili,Pack,3.5
727,JPN,Brand G,Kuroma-yu Tonkotsu Kumamoto Ramen,Bowl,4
728,THA,Brand A,Premier Bowl Instant Noodles Stewed Pork Flavour,Bowl,4
729,MYS,Brand B,Penang Spicy Prawn Soup Noodle,Pack,5
730,MMR,Brand C,Shrimp Tom Yum Flavour Cup Noodles,Cup,3.5
731,USA,Brand D,Raoh Ramen Noodle Soup Umami Tonkotsu Flavor,Pack,5
732,CHN,Brand E,Broad Noodle Pickled Vegetable Artificial Beef Flavor,Pack,0
733,MYS,Brand F,Always Mi Goreng Perisa Asli,Pack,3.8
734,NLD,Brand G,Oriental Noodles Groene Curry,Cup,0.5
735,JPN,Brand A,Cupo Noodle Pasta Style Vongole,Cup,2.8
736,KHM,Brand B,Instant Noodles chicken Green Curry Flavour,Pack,5
737,JPN,Brand C,Wantan Men,Bowl,5
